渋谷（地下）,半蔵門線 副都心線,843344
池袋,丸ノ内線 有楽町線 副都心線,575043
綾瀬,千代田線,454734
大手町,丸ノ内線 東西線 千代田線 半蔵門線,356634
北千住（日）,日比谷線,304635
西船橋,東西線,295943
代々木上原,千代田線,292774
北千住（千）,千代田線,292684
銀座,銀座線 丸ノ内線 日比谷線,265325
新橋,銀座線,253678
新宿,丸ノ内線,239794
中目黒,日比谷線,230956
豊洲,有楽町線,227384
渋谷（地上）,銀座線,224896
東京,丸ノ内線,218275
上野,銀座線 日比谷線,215821
高田馬場,東西線,204848
飯田橋,東西線 有楽町線 南北線,198296
日本橋,銀座線 東西線,196307
和光市,有楽町線,190268
小竹向原,有楽町線 副都心線,187580
表参道,銀座線 千代田線 半蔵門線,186923
押上〈スカイツリー前〉,半蔵門線,183987
九段下,東西線 半蔵門線,181417
有楽町,有楽町線,177367
西日暮里,千代田線,170389
新宿三丁目,丸ノ内線 副都心線,167437
中野,東西線,163908
国会議事堂前・溜池山王,銀座線 丸ノ内線 千代田線 南北線,161573
霞ケ関,丸ノ内線 日比谷線 千代田線,152818
市ケ谷,有楽町線 南北線,150760
六本木,日比谷線,138950
三越前,銀座線 半蔵門線,132185
茅場町,日比谷線 東西線,131870
赤坂見附,銀座線 丸ノ内線,130450
秋葉原,日比谷線,127721
四ツ谷,丸ノ内線 南北線,126982
東陽町,東西線,124790
目黒,南北線,122861
日比谷,日比谷線 千代田線,120882
恵比寿,日比谷線,119939
門前仲町,東西線,119005
青山一丁目,銀座線 半蔵門線,118402
八丁堀,日比谷線,116977
虎ノ門,銀座線,115957
新木場,有楽町線,111872
明治神宮前〈原宿〉,千代田線 副都心線,109528
浅草,銀座線,109223
葛西,東西線,108225
錦糸町,半蔵門線,107922
後楽園,丸ノ内線 南北線,107378
西葛西,東西線,106394
神谷町,日比谷線,102539
新御茶ノ水,千代田線,98366
赤坂,千代田線,97768
神保町,半蔵門線,97429
赤羽岩淵,南北線,97360
半蔵門,半蔵門線,92264
東銀座,日比谷線,91844
荻窪,丸ノ内線,91823
西新宿,丸ノ内線,89547
六本木一丁目,南北線,86306
人形町,日比谷線,84876
永田町,有楽町線 半蔵門線 南北線,84403
浦安,東西線,83421
外苑前,銀座線,82897
早稲田,東西線,82683
水天宮前,半蔵門線,80533
茗荷谷,丸ノ内線,79328
築地,日比谷線,78372
木場,東西線,78116
中野坂上,丸ノ内線,76810
月島,有楽町線,76229
?町,有楽町線,66433
王子,南北線,64405
広尾,日比谷線,63171
京橋,銀座線,62928
町屋,千代田線,62607
神田,銀座線,62029
南砂町,東西線,61597
淡路町,丸ノ内線,60485
御茶ノ水,丸ノ内線,60053
住吉,半蔵門線,58854
行徳,東西線,58627
清澄白河,半蔵門線,57569
本郷三丁目,丸ノ内線,57290
南行徳,東西線,54692
江戸川橋,有楽町線,54473
新宿御苑前,丸ノ内線,54035
地下鉄成増,有楽町線,53402
妙典,東西線,52953
麻布十番,南北線,50564
竹橋,東西線,49014
四谷三丁目,丸ノ内線,47091
護国寺,有楽町線,44691
平和台,有楽町線,44578
東池袋,有楽町線,44462
東新宿,副都心線,43497
乃木坂,千代田線,43434
白金高輪,南北線,43264
仲御徒町,日比谷線,43101
三ノ輪,日比谷線,42833
神楽坂,東西線,41992
駒込,南北線,41842
要町,有楽町線 副都心線,41430
小伝馬町,日比谷線,41304
新富町,有楽町線,40846
氷川台,有楽町線,40804
千川,有楽町線 副都心線,40022
西早稲田,副都心線,39808
地下鉄赤塚,有楽町線,39634
銀座一丁目,有楽町線,39250
新高円寺,丸ノ内線,38161
方南町,丸ノ内線,38064
王子神谷,南北線,37610
二重橋前〈丸の内〉,千代田線,37093
湯島,千代田線,36786
東高円寺,丸ノ内線,36410
新中野,丸ノ内線,36122
入谷,日比谷線,35426
田原町,銀座線,34663
北綾瀬,千代田線,33383
南千住,日比谷線,31398
辰巳,有楽町線,30636
東大前,南北線,29741
千駄木,千代田線,29567
根津,千代田線,29196
代々木公園,千代田線,28807
南阿佐ケ谷,丸ノ内線,27949
原木中山,東西線,27641
落合,東西線,27280
新大塚,丸ノ内線,26103
上野広小路,銀座線,25671
末広町,銀座線,25626
北参道,副都心線,24355
本駒込,南北線,23531
中野新橋,丸ノ内線,20823
中野富士見町,丸ノ内線,20161
雑司が谷,副都心線,19061
白金台,南北線,18086
稲荷町,銀座線,17868
桜田門,有楽町線,13207
志茂,南北線,12583
西ケ原,南北線,8785
