新宿,355778,419608,775386
池袋,231291,327332,558623
東京,214154,248434,462589
横浜,158706,260734,419440
品川,157065,220272,377337
渋谷,173381,192746,366128
新橋,100926,177407,278334
大宮,97977,159367,257344
秋葉原,129173,118860,248033
北千住,57852,163782,221634
川崎,82467,132766,215234
高田馬場,78582,129441,208024
上野,95193,87511,182704
大崎,56911,120184,177095
有楽町,71600,96148,167748
立川,74214,92422,166636
浜松町,58216,105427,163644
田町,44705,114133,158839
中野,54646,96260,150907
恵比寿,67180,78624,145805
蒲田,48262,96672,144934
吉祥寺,59331,82517,141849
五反田,54805,85460,140265
西船橋,53582,85036,138618
船橋,46244,91598,137842
武蔵小杉,46141,83052,129194
柏,39862,85627,125490
日暮里,49631,64788,114420
目黒,48904,64592,113496
戸塚,30226,82371,112598
国分寺,35675,76414,112090
町田,41577,69322,110899
藤沢,35840,73033,108873
千葉,42378,65450,107829
神田,44739,61918,106658
錦糸町,46924,58756,105681
大井町,40023,64596,104619
御茶ノ水,39099,64483,103582
津田沼,28608,74237,102846
松戸,30460,69602,100062
西日暮里,38107,61588,99696
大船,33750,65176,98926
四ツ谷,31739,67073,98813
三鷹,31226,67569,98796
赤羽,41570,56799,98370
大森,32914,63399,96314
浦和,32091,63774,95865
荻窪,34078,56736,90814
仙台,46560,44138,90699
飯田橋,30940,59363,90304
